ZIPCODE,DISTRICT
95928,not in wa
96049,not in wa
96102,not in wa
96205,not in wa
96206,not in wa
96223,not in wa
96335,not in wa
96349,not in wa
96501,not in wa
96534,not in wa
96612,not in wa
96701,not in wa
96703,not in wa
96706,not in wa
96734,not in wa
96744,not in wa
96789,not in wa
96793,not in wa
96815,not in wa
96816,not in wa
96827,not in wa
97002,not in wa
97005,not in wa
97006,not in wa
97008,not in wa
97015,not in wa
97031,not in wa
97034,not in wa
97035,not in wa
97037,not in wa
97040,not in wa
97045,not in wa
97046,not in wa
97048,not in wa
97050,not in wa
97058,not in wa
97060,not in wa
97062,not in wa
97068,not in wa
97070,not in wa
97080,not in wa
97086,not in wa
97089,not in wa
97103,not in wa
97121,not in wa
97123,not in wa
97124,not in wa
97128,not in wa
97132,not in wa
97141,not in wa
97168,not in wa
97201,not in wa
97202,not in wa
97203,not in wa
97204,not in wa
97205,not in wa
97206,not in wa
97207,not in wa
97208,not in wa
97209,not in wa
97210,not in wa
97211,not in wa
97212,not in wa
97213,not in wa
97214,not in wa
97215,not in wa
97217,not in wa
97218,not in wa
97219,not in wa
97220,not in wa
97221,not in wa
97222,not in wa
97223,not in wa
97224,not in wa
97225,not in wa
97227,not in wa
97229,not in wa
97230,not in wa
97232,not in wa
97233,not in wa
97236,not in wa
97238,not in wa
97239,not in wa
97266,not in wa
97281,not in wa
97292,not in wa
97296,not in wa
97297,not in wa
97302,not in wa
97304,not in wa
97305,not in wa
97321,not in wa
97333,not in wa
97355,not in wa
97361,not in wa
97401,not in wa
97403,not in wa
97405,not in wa
97477,not in wa
97478,not in wa
97520,not in wa
97701,not in wa
97707,not in wa
97756,not in wa
97801,not in wa
97820,not in wa
97838,not in wa
97860,not in wa
97862,not in wa
98000,13
98001,47
98002,31
98003,30
98004,48
98005,41
98006,41
98007,48
98008,48
98009,41
98010,5
98011,1
98012,44
98013,34
98014,5
98015,41
98017,39
98019,5
98020,21
98021,1
98022,31
98023,30
98024,5
98025,5
98026,21
98027,5
98028,46
98029,5
98030,47
98031,47
98032,33
98033,48
98034,1
98035,33
98036,1
98037,32
98038,5
